MATERIAL_CODE,MATERIAL_DESC,TYPE,CATEGORY_CODE
500830,볶음땅콩분태/분/실온/CN,ROH1,AANU0020
504060,변성전분(썬크리미)/분/실온/US,ROH1,APST0040
608909,원형 210g 반제품 박스,ROH2,PABX0010
608973,리드/210g/발아현미,ROH2,PLMF0060
612103,수)발아현미 210g 필름,ROH2,PLMF0060
612276,라벨/340G/백설런천미트,ROH2,PLLB0040
612278,라벨/200G/백설런천미트,ROH2,PLLB0040
601565,파우치(수동)/250g*2/머핀믹스,ROH2,PLMF0040
500887,알파옥수수전분(썬-프리젤)/분/실온/KR,ROH1,APST0060
505921,A)쌀가루(유기농)/분/실온/KR,ROH1,AARI0020
505924,현미가루(유기농)/분/실온/KR,ROH1,APGR0110
500877,코코아250DP/분/실온/SG,ROH1,APFR0030
500894,코코아500DP/분/실온/SG,ROH1,APFR0030
608896,리드/210g/E)교포용 원형,ROH2,PLMF0060
601402,파우치(수동)/1Kg/도너스,ROH2,PLMF0040
601413,A)박스(A-1형)/500g/녹두빈대가루,ROH2,PABX0010
601420,박스(A-1형)/1Kg/도너스*10,ROH2,PABX0010
505784,A)흑마늘/액상/실온/KR,ROH1,APSV9990
608974,A)발아 현미 210g 박스,ROH2,PABX0010
622546,스티커/200G/고기전용 쌈장전면,ROH2,PLLB0030
604350,평판롤(자동)/3KG/중력,ROH2,PLEF0010
509975,비타텐에이/액상/실온/KR,ROH1,FANE9990
612838,수)원형 12번들 박스,ROH2,PABX0010
627521,이지오픈지대/10KG/델리만쥬용가루2,ROH2,PASA0030
627539,리드/450G/공용/4열,ROH2,PLMF0050
506777,양파페이스트5MM(고추장)/고상/냉장/KR,ROH1,APSV0060
612431,미싱지대/25kg/쇠다,ROH2,PASA0010
627519,이지오픈지대/10KG/찰보리빵믹스,ROH2,PASA0030
661894,패드/4.5KG*4/하얀설탕(코스트코 RRP),ROH2,PABI0020
507184,규소수지/액상/실온/US,ROH1,OCOT9990
507187,포트움알40/액상/실온/US,ROH1,CDCS0010
502496,에이오제/액상/실온/KR,ROH1,FASB0020
632834,유리병/290G/백설양념장공용,ROH2,GLBO0010
629303,스티커/500G/다담된장찌개전용_EM,ROH2,PLLB0030
629305,박스(A-1형)/500G/다담된장찌개전용_EM,ROH2,PABX0010
626747,A)케이싱/Vector casing 65#,ROH2,CACG0010
665284,박스(A-1형)/900ML/해바라기유/20년,ROH2,PABX0010
626199,지함/840g*2/수)일본배불고기공용_CO,ROH2,PAFD0010
500640,A)카라기난WG-4/분/실온/KR,ROH1,FAIM0040
613223,이지오픈지대/20kg/중력1등,ROH2,PASA0030
613333,이지오픈지대/20kg/중력과자용,ROH2,PASA0030
613339,이지오픈지대/20kg/박력1등,ROH2,PASA0030
613343,이지오픈지대/20kg/고급면용3호,ROH2,PASA0030
613344,이지오픈지대/20kg/수연면용,ROH2,PASA0030
613346,이지오픈지대/20kg/스넥전용분,ROH2,PASA0030
613348,이지오픈지대/고급빵-S,ROH2,PASA0030
613349,이지오픈지대/신라빵-1,ROH2,PASA0030
613350,이지오픈지대/신라빵-S,ROH2,PASA0030
613351,이지오픈지대/20kg/강력1등,ROH2,PASA0030
613352,이지오픈지대/20kg/고급강력1호,ROH2,PASA0030
613353,이지오픈지대/20kg/고급강력골드,ROH2,PASA0030
613354,이지오픈지대/20kg/강력2등,ROH2,PASA0030
613357,이지오픈지대/20kg/만두용1호,ROH2,PASA0030
613358,이지오픈지대/20kg/중력2등,ROH2,PASA0030
613361,이지오픈지대/20KG/다목적면용,ROH2,PASA0030
626113,지함/80G/스팸싱글클래식,ROH2,PAFD0010
669583,박스(A-1형)/1kg/100%국산고추장,ROH2,PABX0010
669625,탈산소제/250G/델리카트슨슬라이스,ROH2,OTST0020
520045,D-소르비톨(20MESH)/고상/실온/ID,ROH1,APSG0070
628503,TOP/1KG/크레잇맛있는베이컨(냉장),ROH2,PLMF0020
625647,A)박스(A-1형)/14KG/재래식된장_HANA,ROH2,PABX0010
503517,검은콩가루/분/실온/KR,ROH1,APBN0030
604712,케이싱/셀룰로즈 16/84(투명),ROH2,CACE0010
601871,케이싱/셀룰로즈 24/84,ROH2,CACE0010
631537,케이싱/0/PVDC CL120,ROH2,CAFL0010
633835,사출캡/10kG/양념장/이너씰,ROH2,PLCL0010
506434,정제소금99%1TON/고상/실온/KR,ROH1,CDSA0040
613646,이지오픈지대/20KG/강력1등 2PLY,ROH2,PASA0030
613649,이지오픈지대/고급강력골드 2Ply,ROH2,PASA0030
613665,이지오픈지대/20kg/고급면용골드 FTS,ROH2,PASA0030
613651,이지오픈지대/20kg/다목적면용 2Ply,ROH2,PASA0030
613653,이지오픈지대/10kg/중력1등 FTS,ROH2,PASA0030
613656,이지오픈지대/20Kg/박력1등20kG2Ply,ROH2,PASA0030
613657,이지오픈지대/20kg/박력1등N 2Ply,ROH2,PASA0030
613666,미싱지대/20kg/강력2등 2Ply,ROH2,PASA0010
613667,미싱지대/20kg/중력2등 2Ply,ROH2,PASA0010
613669,미싱지대/20kg/박력2등 2Ply,ROH2,PASA0010
507519,흑후추로얄/분/실온/KR,ROH1,CDSP0010
605403,파우치(수동)/무지PE35*46Cm동,ROH2,PLEF0030
627538,일매지/6.5KG/공주공장공통유산지,ROH2,PLLB0030
614484,잡관(원형외)/340G/스팸,ROH2,MECA0030
614485,잡관(원형외)/200G/스팸,ROH2,MECA0030
613230,기타/FTS테이프(금풍),ROH2,PAOT9990
613765,네크밴드/1.5/참기름공용,ROH2,PLSF0030
613701,수)원형 큰햇반 300g 박스,ROH2,PABX0010
502662,양파다이스3mm/고상/냉장/KR,ROH1,AASV0050
613766,스티커(전면)/1.5L/100%통참깨참기름,ROH2,PLLB0030
613771,스티커(후면)/1.5L/100%통참깨참기름,ROH2,PLLB0030
614563,파우치(수동)/250G*2/오븐용깨찰빵믹스,ROH2,PLMF0040
614577,지함/250G*2/오븐용깨찰빵믹스,ROH2,PAFD0010
608903,열성형용기/210G/원형,ROH2,PLCO0020
614837,박스(A-1형)/27G/밥이랑야채,ROH2,PABX0010
614841,박스(A-1형)/27G/밥이랑치즈,ROH2,PABX0010
614360,필름/1kg/분박력,ROH2,PLMF0030
614361,필름/1kg/분강력,ROH2,PLMF0030
614362,필름/1kg/분중력,ROH2,PLMF0030
614363,필름/1kg/분찰1kG,ROH2,PLMF0030
614364,필름/2.5kg/분박력,ROH2,PLMF0030
614366,필름/2.5kg/분강력,ROH2,PLMF0030
614367,필름/2.5kg/분중력,ROH2,PLMF0030
614368,필름/2.5kg/분찰,ROH2,PLMF0030
600860,파우치(수동)/2.25kg/쇠다,ROH2,PLMF0040
600859,파우치(수동)/2kg/쇠다,ROH2,PLMF0040
600862,파우치(수동)/1.3kg/쇠다,ROH2,PLMF0040
600858,파우치(수동)/1kg/쇠다,ROH2,PLMF0040
600866,파우치(수동)/750G/쇠다,ROH2,PLMF0040
600865,파우치(수동)/500G/쇠다,ROH2,PLMF0040
609402,파우치(수동)/500G/조개,ROH2,PLMF0040
600921,파우치(수동)/500G/멸치500G,ROH2,PLMF0040
600918,파우치(수동)/1kg/멸치,ROH2,PLMF0040
612330,파우치(수동)/100G/허브순한맛,ROH2,PLMF0040
600895,박스(A-1형)/2.25kg/쇠다,ROH2,PABX0010
600899,A)박스(A-1형)/1.3kg/쇠다,ROH2,PABX0010
600893,박스(A-1형)/1kg/쇠다,ROH2,PABX0010
600904,박스(A-1형)/750G/쇠다,ROH2,PABX0010
600902,박스(A-1형)/500G/쇠다,ROH2,PABX0010
606875,박스(A-1형)/300G/쇠다,ROH2,PABX0010
600897,박스(A-1형)/100G/쇠다,ROH2,PABX0010
609403,박스(A-1형)/500G/조개,ROH2,PABX0010
600924,박스(A-1형)/1kg/멸치,ROH2,PABX0010
600927,박스(A-1형)/500G/멸치500G,ROH2,PABX0010
600942,박스(A-1형)/300G/냉면,ROH2,PABX0010
507381,터메릭분말/분/실온/CN,ROH1,APSV0100
629643,A)탈피셀로판/BC500*1130,ROH2,CAFL0010
629644,A)탈피셀로판/1KG/BC800*1130,ROH2,CAFL0010
500260,포도당/분/실온/KR,ROH1,APSG0210
500858,베이킹파우다BPMA/분/실온/CN,ROH1,FAIM0080
500928,비타민B2/분/실온/DE,ROH1,FANE0010
612390,A)박스(A-1형)/100G/허브매콤한맛,ROH2,PABX0010
612329,박스(A-1형)/100G/허브순한맛,ROH2,PABX0010
614835,파우치(수동)/9G/밥이랑야채,ROH2,PLMF0040
614838,파우치(수동)/27G/밥이랑야채,ROH2,PLMF0040
614836,지함/9G/밥이랑야채,ROH2,PAFD0010
614847,파우치(수동)/8G/밥이랑해물,ROH2,PLMF0040
614850,파우치(수동)/24G/밥이랑해물,ROH2,PLMF0040
614848,지함/8G/밥이랑해물,ROH2,PAFD0010
614839,파우치(수동)/9G/밥이랑치즈,ROH2,PLMF0040
614842,파우치(수동)/27G/밥이랑치즈,ROH2,PLMF0040
614840,지함/9G/밥이랑치즈,ROH2,PAFD0010
624442,사출캡/530G/공용(다담),ROH2,PLCL0010
625222,파우치(수동)/320G/행복한콩 통째로 콩비지,ROH2,PLMF0040
614721,박스(A-1형)/210*6/210*6번들백미,ROH2,PABX0010
507317,서울유동쇼트닝프리/액상/실온/KR,ROH1,OPOF0020
615647,박스(A-1형)/1kg/치킨튀김가루,ROH2,PABX0010
615648,파우치(수동)/1kg/부침가루,ROH2,PLMF0040
615477,파우치/1KG/수출용부침가루,ROH2,PLMF0040
615478,박스(A-1형)/1kg/수출용부침가루,ROH2,PABX0010
608879,열성형용기/300g/원형,ROH2,PLCO0020
615702,이지오픈지대/SS-1,ROH2,PASA0030
629121,박스(A-1형)/재래식된장(4개입)2KG+300G,ROH2,PABX0010
615224,필름/원형 오곡밥,ROH2,PLMF0060
615225,원형 흑미밥 필름,ROH2,PLMF0060
615221,A)박스(A-1형)/원형 흑미밥,ROH2,PABX0010
615222,원형 오곡밥 박스,ROH2,PABX0010
608717,라벨/700G/홍콩_E)요리당,ROH2,PLLB0040
